normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
162/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-05,91.55,16000.0,KGS,doc_137.pdf,DPY/00338/25-26
162/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-15,91.55,6000.0,KGS,doc_119.pdf,DPY/00351/25-26
162/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,92.55,16000.0,KGS,doc_160.pdf,DPY/00354/25-26
122/72 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-11-25,93.55,6000.0,KGS,doc_077.pdf,POY/00280/25-26
122/72 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-11-25,93.55,6000.0,KGS,doc_131.pdf,DPY/00280/25-26
122/72 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-05,93.55,8000.0,KGS,doc_137.pdf,DPY/00338/25-26
122/72 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-20,94.55,12000.0,KGS,doc_150.pdf,DPY/00359/25-26
80/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-11-25,98.55,4000.0,KGS,doc_077.pdf,POY/00280/25-26
80/34 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-11-25,98.55,4000.0,KGS,doc_131.pdf,DPY/00280/25-26
70/68/2/140 NYLON TWT DYED YARN,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-02,459.0,104.69,KGS,doc_079.pdf,P29109
110/72 SUPER KARIZMA,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-01,201.0,356.71,KGS,doc_081.pdf,P29099
70/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-01,374.0,96.315,KGS,doc_105.pdf,P29102
70/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-01,403.0,29.205,KGS,doc_155.pdf,P29104
70/2/140 NYLON TWT DYED,"TULIP ELASTICS PVT.LTD.,",TAX_INVOICE,2026-01-05,374.0,20.28,KGS,doc_084.pdf,P29148
155/34/0 T-DYED YARN,BIMAL SINGH KAMAL SINGH,TAX_INVOICE,2026-01-01,190.0,200.36,KGS,doc_089.pdf,P29098
155/34/0 T-DYED YARN,BIMAL SINGH KAMAL SINGH,TAX_INVOICE,2026-01-01,200.0,121.19,KGS,doc_089.pdf,P29098
155/34/0 T-DYED YARN,BIMAL SINGH KAMAL SINGH,TAX_INVOICE,2026-01-03,200.0,197.37,KGS,doc_121.pdf,P29110
150/34/0 T-DYED YARN,BIMAL SINGH KAMAL SINGH,TAX_INVOICE,2026-01-01,200.0,127.42,KGS,doc_089.pdf,P29098
85/34/600 T-TWT GREY YARN,GLOBAL EXPORTS,DELIVERY_INSTRUCTION,2026-01-15,152.0,1000.0,KGS,doc_090.pdf,DDS/00504/25-26
126/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,96.55,240000.0,KGS,doc_129.pdf,DPY/00193/25-26
126/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,96.55,240000.0,KGS,doc_142.pdf,POY/00193/25-26
126/34 POY,RELIANCE INDUSTRIES LTD,GOODS_RECEIPT_NOTE,2025-10-05,96.5,4033.4,KGS,doc_093.pdf,DYT/01116/25-26
126/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-05,92.55,40000.0,KGS,doc_137.pdf,DPY/00338/25-26
126/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,93.55,40000.0,KGS,doc_160.pdf,DPY/00354/25-26
75/48/2/80 HB-TWT DYED,BLAUMANN INDUSTRIES PRIVATE LIMITED,TAX_INVOICE,2026-01-05,192.0,360.35,KGS,doc_101.pdf,P29150
70/2/140,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-05,403.0,21.69,KGS,doc_109.pdf,P29146
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-01,201.0,163.42,KGS,doc_153.pdf,P29100
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-01,201.0,151.2,KGS,doc_153.pdf,P29100
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-01,201.0,151.55,KGS,doc_153.pdf,P29100
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-03,201.0,142.35,KGS,doc_111.pdf,P29114
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-03,201.0,151.33,KGS,doc_111.pdf,P29114
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-03,201.0,176.65,KGS,doc_111.pdf,P29114
110D SUPER CATLON DYED,MAHALAXMI ENTERPRISES,TAX_INVOICE,2026-01-03,201.0,169.99,KGS,doc_111.pdf,P29114
120/24 NYLON POY,CENTURY ENKA LTD.,PURCHASE_ORDER,2026-01-23,166.0,26000.0,KGS,doc_113.pdf,DPY/00363/25-26
80/72/2/350 TWT GREY YARN,PINEAPPLE FASHION PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-05,165.0,1000.0,KGS,doc_118.pdf,DDS/00488/25-26
80/34/300 T-TWT GREY YARN,MUDASSAR TEXTILES,DELIVERY_INSTRUCTION,2026-01-12,147.0,200.0,KGS,doc_120.pdf,DDS/00498/25-26
75/48/2/80 HT-TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-05,191.0,434.415,KGS,doc_122.pdf,P29143
505/96 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-28,89.8,5100.0,KGS,doc_126.pdf,DPY/00369/25-26
108/36 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,98.78,20000.0,KGS,doc_129.pdf,DPY/00193/25-26
